publish_date,headline_category,headline_text,Label,Party,sent1,Bias1,sent2,Bias2
20120624,india,NCPCR seeks explanation from Haryana govt,3,1,neu,-1,0,-1
20170417,city.indore,HC on alleged Simhastha irregularities: Take issue to CBI; Lokyukt or EOW,0,0,neu,-1,0,-1
20181014,city.bhopal,Rahul to visit Datia; Gwalior from Monday,0,0,neu,-1,0,-1
20170920,sports.football,Premier Futsal: Bengaluru Royals rout Mumbai Warriors,13,1,neu,-1,0,-1
20090824,city.mysuru,Assembly session will focus on people's problems: CM,3,1,neu,-1,0,-1
20110801,city.ranchi,Nine die in lightning strikes,0,0,neg,1,0,-1
20161130,city.nagpur,'Chaturvedi has aresearcher's mind',3,1,neu,-1,0,-1
20140803,commonwealth-games-2014.news,Bolt again says could run until 2017 worlds,3,1,neu,-1,0,-1
20090925,city.ludhiana,Illegal colony in eye of a storm,3,1,neu,-1,-1,0
20160628,sports.tennis.wimbledon-2016,Below-par Roger Federer into Wimbledon second round,0,0,neu,-1,0,-1
20200323,city.surat,Four nodal cops only to attend bail plea hearings,3,1,neu,-1,0,-1
20071105,business.india-business,World Bank is not just for poor countries,3,1,neu,-1,-1,0
20020625,city.kolkata,CP Thakur's team finds kala azar drug,15,-1,neu,0,0,0
20141208,city.coimbatore,Centre's move against subsidy will destroy farmers: Pandian,3,1,neu,-1,0,-1
20150129,entertainment.hindi.bollywood,Srinagar Imam asks Rs 50 lakh or an apology from Vishal Bharadwaj,10,1,neu,-1,0,-1
20130512,india,My conscience clear; resigned to avoid row: Ashwani Kumar,0,0,neu,-1,0,-1
20140721,entertainment.telugu.movies.news,Ram Charan's new film to begin from Nov,4,1,neu,-1,0,-1
20061029,city.delhi,Are mobiles eroding kids' manners?,3,1,neu,-1,0,-1
20010103,unknown,BJP doing a volte face on casinos: Cong,0,0,neu,-1,0,-1
20071010,speak-out,Is it better if one party gets a clear majority?,0,0,pos,0,0,-1
20190122,city.rajkot,BSF organizes cricket tournament,0,0,neu,-1,0,-1
20141215,sports.football.epl,Leicester axe director of football Robinson,0,0,neu,-1,0,-1
20110723,city.ludhiana,DC suspends revenue officer,3,1,neu,-1,0,-1
20130404,city.madurai,Fire safety overlooked by organisers of Virudhunagar temple fest,3,1,neu,-1,0,-1
20200814,city.hyderabad,MSN Labs rolls out cheapest Covid-19 drug,3,1,neu,-1,0,-1
20140227,city.pune,MPCB proposes tougher sewage treatment norms,3,1,neu,-1,0,-1
20160218,entertainment.malayalam.movies.news,I won't marry a stranger again,3,1,neu,-1,0,-1
20130220,city.mysuru,Institutions will remain closed today,3,1,neu,-1,0,-1
20110302,tech,Android developers on war path with Google,3,1,neu,-1,0,-1
20170909,city.pune,Rs 2 lakh penalty now for late registration under RERA,10,1,neu,-1,0,-1
20160917,tv.news.english,Vir Das to have his own Netflix comedy special,0,0,neu,-1,1,0
20130416,city.mumbai,Woman fidayeens being trained to attack Mumbai; Pune: Patil,13,1,neu,-1,0,-1
20120223,home.campaigns,Bye bai I039ve got a robot,3,1,neu,-1,0,-1
20160722,city.mumbai,Oppn demands discussion on law and order in state,3,1,neu,-1,0,-1
20150912,city.pune,NGT orders stern action against illegal Goa miners,8,1,neu,-1,0,-1
20171202,city.patna,Youths from Bihar to be taught job skills by Yamaha,3,1,neu,-1,0,-1
20180722,city.chandigarh,SAD questions Kejriwal's silence over Sandoa's involvement in molestation case,7,0,neu,-1,-1,1
20150804,sports.chess,Ananya; Dhanashree share lead in state U-15 chess championship,3,1,neu,-1,0,-1
20020529,city.kolkata,Ghauri can hit Kolkata in minutes,3,1,neu,-1,0,-1
20160416,city.nagpur,HC seeks irri work audit progress,3,1,neu,-1,0,-1
20121103,world.uk,NRI couple's 87-year marital bond is a world record,3,1,neu,-1,0,-1
20181227,city.patna,day 2 flight operations hit at patna airport,9,1,neu,-1,0,-1
20150314,city.bhubaneswar,Free airstrips of encroachments: Assembly committee,0,0,neu,-1,1,0
20180327,sports.commonwealth-games,Nervous wait for Vijayakumari; three other athletes,0,0,neu,-1,0,-1
20190930,city.lucknow,Azam Khan's wife to fight from family hub,0,0,neu,-1,0,-1
20111020,city.surat,2 Pakistani nationals held by BSF in Harami Nala,1,1,neu,-1,0,-1
20160123,city.allahabad,UP Board adds new topics to old subjects this year,4,1,neu,-1,0,-1
20170108,city.delhi,Travellers hit as fog delays flights; trains,3,1,neu,-1,0,-1
20161231,city.chennai,Attack on doctors: Medical association seeks medical tribunal,13,1,neu,-1,0,-1
20090804,business.india-business,Exports dip 28% on low global demand,3,1,neu,-1,0,-1
20160821,entertainment.hindi.bollywood,Remo D'Souza: Wanted an innocent looking guy for 'A Flying Jatt',0,0,neu,-1,1,0
20111001,unknown,RSS-Gadkari-Advani 'concoction' troubling Modi: Thackeray,3,1,neu,-1,0,-1
20170731,city.lucknow,Lucknow Municipal Corp picks beggar's stash of Rs 40;000 in old notes,10,1,neu,-1,0,-1
20140904,india,2G probe hearing: SC refuses to restrain media on CBI chief's request,0,0,neu,-1,0,-1
20150612,city.pune,Dumper driver rams 11 vehicles on the Katraj- Dehu Road bypass; 6 dead,3,1,neu,-1,0,-1
20030924,city.ahmedabad,PSI; three constables land in ACB net,0,0,neu,-1,0,-1
20130828,city.bengaluru,Sureme Court orders CBI probe into lawyer-police journalist clash,8,1,neu,-1,0,-1
20091007,city.ranchi,Development fair opened in Dumka,0,0,neu,-1,1,0
20190326,city.lucknow,Mayawati; Yogi Adityanath spat over Twitter on cane dues,3,1,neu,-1,0,-1
20130120,city.bengaluru,Ejipura shantytown bulldozed,3,1,neu,-1,0,-1
20090922,city.goa,Quepem police station functioning sans PI,6,1,neu,-1,0,-1
20120523,sports.hockey,India seek return to podium in Azlan Shah hockey,11,1,neu,-1,0,-1
20141225,business.india-business,Gold loses sheen to import curbs; smugglers make hay,3,1,neu,-1,0,-1
20201110,city.trichy,3 of family; who arrived illegally from Sri Lanka; held,1,1,neu,-1,-1,0
20040901,india,Congress finding BSP too hot to handle,0,0,neu,-1,0,-1
20061207,life-style.relationships.man-woman,At loggerheads,3,1,neu,-1,0,-1
20140506,entertainment.kannada.theatre,Rousing finale for 'Adjust Madkobedi' Natakotsava,0,0,neu,-1,0,-1
20160202,city.kolkata,Flawed project fails to rid city of flooding,5,1,neu,-1,-1,0
20201118,city.goa,Introduced in Aug; govt's cage fish farming initiative has no takers yet,3,1,neu,-1,0,-1
20150316,unknown,SMT. USHA KUMAR,3,1,neu,-1,0,-1
20140208,life-style.beauty,How to prevent crow's feet,0,0,neu,-1,0,-1
20190424,astrology.horoscope,horoscope today april 24 check astrological prediction for cancer leo virgo libra scorpio gemini aries,0,0,neu,-1,0,-1
20111125,india,Joint forces resume operation; hunt on for Suchitra Mahato,0,0,neu,-1,0,-1
20161102,entertainment.hindi.bollywood,It has taken me a long time for this decision: Gautami,3,1,neu,-1,0,-1
20050301,city.bengaluru,Shh! Board exams are on,0,0,neu,-1,0,-1
20140910,unknown,iPhone 6: Bollywood celebs and their love for the brand,0,0,neu,-1,1,0
20131127,sports.icc-world-cup-2015,I just don't look like 25; but feel like one too: Zaheer Khan,0,0,neu,-1,0,-1
20120923,city.mumbai,Devotees roll on leftover food to thank the Lord,0,0,neu,-1,0,-1
20141129,home.environment.pollution,NGT slams govt; calls 13 bodies for meet on foul air,3,1,neu,-1,0,-1
20150609,tv.news.hindi,Ekta flies her friends to Macau for her birthday,3,1,neu,-1,0,-1
20110407,unknown,Smt. Manju Sharma,3,1,neu,-1,0,-1
20200825,city.thiruvananthapuram,Supplyco; KSEB & KSFE pulled up in CAG audit,3,1,neu,-1,0,-1
20170216,city.patna,'It's now for Nitish Kumar to prove he is not a CM of circumstances',3,1,neu,-1,0,-1
20190228,city.bhopal,H1N1 toll touches 43 in MP; testing delays make situation worse,3,1,neu,-1,-1,0
20190321,india,Marital violence top cause why women turn homeless,0,0,neu,-1,1,0
20101225,city.pune,PMC schoos to be privatised on experimental basis,3,1,neu,-1,0,-1
20130206,city.lucknow,Birth data since 1987 'missing' from Lucknow Municipal Corporation,3,1,neu,-1,0,-1
20081225,city.chandigarh,Gogia's 'twin rules' for education,3,1,neu,-1,0,-1
20150620,city.patna,PU to revise courses syllabi,0,0,neu,-1,0,-1
20150904,entertainment.hindi.bollywood,The big Soha and Kunal clash,0,0,neu,-1,0,-1
20121026,city.kochi,Hindustan Machine Tools Limited: From watches to weapons?,3,1,neu,-1,0,-1
20100926,unknown,Dev Anand's journey in pics!,0,0,neu,-1,0,-1
20160731,city.vadodara,MSU researchers get patent to develop biodegradable polymer,3,1,neu,-1,0,-1
20190923,india,India to have first NBA basketball next week: President Trump,11,1,neu,-1,0,-1
20141229,entertainment.events.delhi,White theme party held at Club BW in Delhi,2,1,neu,-1,0,-1
20200523,city.kolkata,Remaining CISCE board exams scheduled between July 1 & 14,0,0,neu,-1,0,-1
20021223,lucknow-times,Getting the law going for the common man,3,1,neu,-1,0,-1
20100818,city.goa,Poor implementation of RTI,3,1,neg,0,-1,0
20180618,entertainment.events.kanpur,A memorable wedding anniversary in Kanpur,3,1,neu,-1,1,1
20070802,lucknow-times,SRK readies to 'bare' it all,3,1,neu,-1,0,-1
20020127,unknown,Heavy bookings for summer of 2002,3,1,neu,-1,0,-1
20140315,home.campaigns,The good fight,0,0,pos,0,1,0
20100411,sports.icc-world-cup-2015,Kings XI beat Delhi Daredevils by 7 wickets,2,1,neu,-1,0,-1
20170610,city.rajkot,Food grains for poor sold in black market,3,1,neu,-1,0,-1
20140820,city.goa,Parrikar must apologize for suspending mining operation in 2012: Shantaram,8,1,neu,-1,0,-1
20110107,edit-page,Tread with caution,0,0,neu,-1,0,-1
20150531,home.sunday-times.deep-focus,Shooting the dead for a living,3,1,neu,-1,0,-1
20030322,city.patna,Villagers attack trader's house,13,1,neg,0,0,-1
20131207,city.nagpur,Nagpurians sway to Shreya's songs at concert celebrating TOI's 175 years,3,1,neu,-1,0,-1
20110531,unknown,GDP growth slows to 7.8% in Q4,0,0,neu,-1,0,-1
20011221,entertainment.hindi.bollywood,Madhur Bhandarkar : Baring his talent,0,0,neu,-1,0,-1
20180330,city.bhopal,Death in the wild: On trail of a spotted killer,3,1,neg,0,0,-1
20141001,city.allahabad,Woman kidnapped; gangraped,13,1,neu,-1,0,-1
20121217,gujarat-assembly-elections,Gujarat elections: Top politicians keep Surat airport officials busy,3,1,neu,-1,0,-1
20120726,city.kolkata,Kolkata Municipal Corporation revives anti-plastic war,3,1,neu,-1,0,-1
20170621,business.international-business,Russekoff's hedge fund Smith Cove hires ex-Perry exec Gulati,3,1,neu,-1,0,-1
20160807,entertainment.malayalam,Not just a director; but a friend; mentor and brother,0,0,neu,-1,0,-1
20091228,removed,Chattambinaadu,3,1,neu,-1,0,-1
20070808,home.science,Trafficked women more prone to HIV,0,0,neu,-1,1,0
20130413,home.campaigns,Why shouldn039t they jump jobs,3,1,neu,-1,0,-1
20200201,india,Government allays fears; to tweak NPR form,3,1,neu,-1,0,-1
20090619,city.patna,Panna loses; but Bihar reserve gains big cats,3,1,neu,-1,0,-1
20120619,home.campaigns,Dog walking as a career,0,0,neu,-1,0,-1
20151103,city.hyderabad,Anti-snatching teams authorized to open fire,3,1,neu,-1,0,-1
20171125,city.vadodara,Saas fumes as 'bahu' gets ticket to contest in Kalol,3,1,neu,-1,0,-1
20080828,city.chandigarh,Ministers to get grant for private houses,3,1,neu,-1,0,-1
20070614,city.chandigarh,Undertrial dies in Ferozepur jail,3,1,neu,-1,0,-1
20181223,city.ludhiana,2 of 6 killed in Awantipura encounter wanted in Maqsudan police station blasts,6,1,neu,-1,0,-1
20150411,city.delhi,Another woman raped in Delhi taxi; driver arrested,2,1,neg,0,0,-1
20121227,city.raipur,Student welfare association takes out 'Nari Suraksha Yatra',0,0,neu,-1,0,-1
20200524,city.hyderabad,Telangana: Schools ignore govt fee collection diktat,12,1,neu,-1,0,-1
20190528,city.lucknow,Niagara Falls to aunty; decoding period stigma,3,1,neu,-1,0,-1
20170219,city.lucknow,UP has 6 of India's 13 cantonment assembly seats,11,1,neu,-1,0,-1
20181124,india,Netas are hi-tech dakus; say ex-bandits of MP,3,1,neu,-1,0,-1
20200101,city.goa,Goa: Implementation of new MV Act after cabinet meet,4,1,neu,-1,0,-1
20191025,citizen.stories,How is the Trash?,3,1,neu,-1,0,-1
20090831,city.pune,Citizens' groups demand shuttle bus service on JM; FC roads,0,0,neu,-1,0,-1
20130119,entertainment.hindi.bollywood,SRK keeps commitments despite shoulder pain relapse,3,1,neu,-1,0,-1
20110320,city.chandigarh,Water woes coming up for UT,3,1,neu,-1,0,-1
20071031,tv.news.hindi,Achint Kaur's bad make-up,3,1,neg,0,-1,0
20021028,city.ahmedabad,Will polls ignite communal tinderbox?,3,1,neu,-1,0,-1
20120605,india,Price rise; stalling economy dominate at Congress Working Committee meeting,0,0,neu,-1,0,-1
20130827,india,Army orders probe into housing 'scam' in Kochi,0,0,neu,-1,0,-1
20150919,city.bengaluru,And then there was one; Agatha Christie!,0,0,neu,-1,0,-1
20200403,city.jaipur,Police building confidence among Ramganj residents; a team to visit constituted; religious leaders asked to play key role,15,-1,neu,0,0,0
20150719,sports.more-sports.cycling,Cummings says Tour stage win a dream,3,1,pos,1,1,1
20121127,city.chennai,Aircraft's tyre bursts while taxiing,0,0,neu,-1,0,-1
20130719,city.pune,PMC to review action against illegal cell towers,0,0,neu,-1,0,-1
20171017,business.international-business,sartorius ag says full year 2017 guidance adjusted,3,1,neu,-1,1,1
20020622,unknown,Royal Gyan,0,0,neu,-1,0,-1
20141228,city.hyderabad,HC stays Telangana; AP notices on computerisation of retail liquor shops,0,0,neu,-1,0,-1
20100724,city.vadodara,SPU researcher takes up task of cleaning lake in,0,0,neu,-1,0,-1
20020226,bombay-times,Going international,3,1,neu,-1,0,-1
20120410,entertainment.hindi.bollywood,Raju Hirani's dilemma!,3,1,neu,-1,0,-1
20080817,city.mumbai,Taufique involved in Jaipur; Uttar Pradesh blasts too?,3,1,neu,-1,0,-1
20040327,world.us,US may give Pak F-16s; copters,0,0,neu,-1,0,-1
20191012,city.gurgaon,Three stab 21-year-old to death near Sector 104 condominium,3,1,neg,0,0,-1
20110928,unknown,Saurabh Goyal,3,1,neu,-1,0,-1
20090110,entertainment.events.chennai,Playing it loud,3,1,neu,-1,0,-1
20200321,india,Health minister Harsh Vardhan denies 'under-testing'; says checks protocol-based,3,1,neu,-1,0,-1
20130907,city.indore,Jains oppose blanket ban on use of peacock feathers,8,1,neu,-1,0,-1
20151023,home.science,Study reveals that 40 per cent of people below 40 years are osteopenic,3,1,neu,-1,0,-1
20170530,business.international-business,S.Korea to suspend 8 older coal-fired power plants to tackle pollution,3,1,neu,-1,0,-1
20170617,tv.news.tamil,A television show dedicated to friendship,3,1,pos,1,0,-1
20091130,unknown,Dubai Crisis: Some key questions answered,0,0,neu,-1,0,-1
20181020,entertainment.telugu.music,Music Review: 2 Friends,0,0,pos,0,0,-1
20160227,city.bhopal,FM eyes metro ride; allocates Rs 425cr for Bhopal; Indore,10,1,neu,-1,0,-1
20010815,india,Blast in Haridwar-Delhi train; 3 killed; 18 hurt,2,1,neg,0,0,-1
20111123,home.campaigns,Quick review,0,0,neu,-1,1,0
20161116,city.lucknow,AKTU to go ditigal in copy-checking,3,1,neu,-1,0,-1
20030323,unknown,TN ready to fight against Hindi dominance: Karuna,0,0,neu,-1,0,-1
20100105,city.goa,Beautified Pomburpa spring opened to public,3,1,neu,-1,0,-1
20170826,business.international-business,U.S. oils and fats - Aug. 25,3,1,neu,-1,0,-1
20031023,city.hyderabad,Vittal's ideas to curb graft,3,1,neu,-1,0,-1
20180326,city.ahmedabad,FCRA licence of Sardar Patel-founded VS Hospital cancelled,3,1,neu,-1,0,-1
20191027,business.india-business,FPIs remain net buyers in October; pump in over Rs 3;800 crore into Indian markets,10,1,neu,-1,0,-1
20150423,city.varanasi,Vedic students graduate to computers,0,0,neu,-1,0,-1
20090402,top-stories,Cong not to field former cricketer Madan Lal,0,0,neu,-1,0,-1
20020205,city.pune,Data bank to weed out stolen cars from market,3,1,neu,-1,0,-1
20200508,city.allahabad,Corona victim's mother tests +ve for infection,3,1,neu,-1,0,-1
20120519,unknown,Luke granted bail; Sidhartha Mallya gets notice for tweets,0,0,neu,-1,0,-1
20111102,city.noida,Trade Fair: F1; Prerna Sthal to be highlights of UP pavilion,0,0,neu,-1,1,0
20190128,city.goa,Panaji market tenants told to give proof of occupancy,3,1,neu,-1,0,-1
20110406,city.delhi,Plastic godown gutted in Mundka,3,1,neu,-1,0,-1
20031130,cricket,Nothing wrong with the way we select selectors,3,1,neu,-1,-1,0
20120720,home.campaigns,Lords of dance,3,1,neu,-1,0,-1
20121029,home.education,Guru Nanak Dev University bars 73 for cheating in exams,0,0,neu,-1,0,-1
20130910,unknown,Top 10 Upcoming TV Shows,3,1,neu,-1,1,1
20181227,city.chennai,Government knew donor was HIV+ve in 2016; failed to inform him,3,1,neu,-1,-1,0
20120104,entertainment.tamil.movies.news,Pilla Chao is a copy,3,1,neu,-1,0,-1
20180416,city.goa,Benaulim youth missing; friend claims harrasment,3,1,neu,-1,0,-1
20161219,entertainment.hindi.bollywood,Bajirao Mastani: Top 10 dialogues,3,1,neu,-1,1,1
20130405,city.allahabad,Postal department launches service to transfer money via cellphone,0,0,neu,-1,0,-1
20150722,business.india-business,Rupee down 4 paise against dollar in early trade,0,0,neu,-1,0,-1
20190324,citizen.stories,bikes in parking zone being towed.,3,1,neu,-1,0,-1
20131218,city.kozhikode,In a first; Calicut University begins webcast of lectures,0,0,neu,-1,0,-1
20191102,life-style.spotlight,Meet Bengaluru's Fresh Face winners,0,0,pos,0,0,-1
20171005,business.international-business,Google takes on GoPro; Snap with compact smart camera,3,1,neu,-1,0,-1
20160217,city.jaipur,10% dip in crimes against women in 2015,0,0,neu,-1,0,-1
20160531,city.ahmedabad,Probe forcible eviction: HC,0,0,neg,1,1,0
20200603,city.goa,Step up efforts to provide better power supply: JERC,3,1,neu,-1,1,1
20030103,city.mumbai,Rate cuts fail to enthuse cell users,3,1,neg,0,-1,0
20170611,home.environment.pollution,Strict punishment in store for those hurting Ganga,0,0,neu,-1,0,-1
20140727,world.europe,Russian fighter jet crashes; pilot killed,6,1,neg,0,0,-1
20150718,entertainment.kannada.movies.news,Actresses get into a nasty cat fight!,0,0,neg,1,-1,1
20110429,city.goa,No cabinet decision on 'no-fail' policy yet,3,1,neu,-1,0,-1
20161009,india,India at world's centre stage but can do better: Arun Jaitley,11,1,neu,-1,1,1
20181025,tv.news.marathi,Mazhya Navryachi Bayko written update; October 24; 2018: Gurunath lies about the gold bracelet,0,0,neu,-1,0,-1
20110225,india,Documentary to help save water,3,1,pos,1,0,-1
20120522,home.campaigns,Down a yellow-taped road,3,1,neu,-1,0,-1
20181116,city.chennai,Colleges start courses without univ nod; ask for waiver of penalty,0,0,neu,-1,0,-1
20110731,city.noida,Land row fire spreads to Yamuna e-way,0,0,neu,-1,0,-1
20140501,city.mumbai,LS polling in Maharashtra over; NCP turns attention to assembly challenge,3,1,neu,-1,0,-1
20180427,business.india-business,Garuda rolls out direct flight service for Mum-Bali,0,0,neu,-1,0,-1
20130518,city.jaipur,Undertrial flees from Jodhpur jail,3,1,neu,-1,0,-1
20140414,city.mumbai,Mega blocks on Mumbai's Central and Western railways; hinder travel on Sunday,13,1,neu,-1,0,-1
20191027,city.bengaluru,Bengaluru varsities battle faculty shortage,3,1,neg,0,0,-1
20130104,city.patna,Woman jumps off train in Bihar to escape rape bid,13,1,neu,-1,0,-1
20150219,city.hyderabad,Criminal who escaped from cops arrested,7,0,neg,1,-1,1
20030526,city.patna,Police flag march in Ranchi,6,1,neu,-1,0,-1
20070711,india,Antony for artillery modernisation programme,0,0,neu,-1,0,-1
20050122,unknown,Stars take a rest as East meets West,3,1,neu,-1,0,-1
20171121,entertainment.events.bangalore,It's party time for city folk,5,1,neu,-1,0,-1
20080330,world.rest-of-world,Security stepped up in Dhaka jails over fear of militant attacks,3,1,neu,-1,0,-1
20160329,city.mangaluru,New NHs will ease traffic around Mangaluru,4,1,neu,-1,0,-1
20141001,city.mysuru,Opening food stalls helps women realize their dream,0,0,neu,-1,0,-1
20130116,city.gurgaon,Minor allegedly molested by youth,3,1,neu,-1,0,-1
20141010,entertainment.malayalam.movies.news,Lijo Jose turns scriptwriter,0,0,neu,-1,0,-1
20200127,city.hyderabad,Telangana CM K Chandrasekhar Rao to pay surprise visits to villages,0,0,neu,-1,0,-1
20100625,business.india-business,Aditya Birla Group's think tank gets younger,0,0,neu,-1,0,-1
20090813,sports.football,Governor's Gold Cup football tourney next month,0,0,neu,-1,0,-1
20180125,world.us,Trump administration backs bills to toughen foreign investment rules,0,0,neu,-1,0,-1
20190608,city.indore,'Water wars' intensify; Madhya Pradesh police told to guard tankers,6,1,neu,-1,0,-1
20170416,city.nagpur,Chef to cook for 52 hrs to break world record,3,1,neu,-1,0,-1
20180716,city.ahmedabad,Ram temple will be built without bloodshed: Sambit Patra,3,1,neu,-1,0,-1
20080329,city.bengaluru,Trapped in a bottleneck,3,1,neg,0,0,-1
20130224,home.campaigns,The secrets of fine dining,3,1,neu,-1,1,1
20110105,unknown,Another son-in-law of former CJI in land tangle,0,0,neu,-1,0,-1
20100920,world.uk,Searching info; hackers steal Interpol chief's FB identity,3,1,neu,-1,0,-1
20140915,tech.tech-news,Flipkart; Amazon; Snapdeal battle intensifies with Android One,3,1,neu,-1,0,-1
20090214,city.bengaluru,Train fare details,3,1,neu,-1,0,-1
20140101,city.kanpur,Rash driving claims one life; two injured,3,1,neg,0,0,-1
20200119,city.jaipur,Jaipur's Shaheen Bagh act: Women surge in scores to stir against CAA,0,0,neu,-1,0,-1
20020207,city.chandigarh,20;000 blind knocked out of poll arena,0,0,neu,-1,-1,1
20160528,city.ahmedabad,Advani hails PM Modi for work in Ahmedabad,3,1,neu,-1,0,-1
20140525,city.gurgaon,Power hurdle for police society,6,1,neu,-1,0,-1
20200609,city.goa,New footbridge at Galgibaga could affect current flow,4,1,neu,-1,0,-1
20150921,india,India; US will continue to push ties to new heights: Verma,4,1,neu,-1,0,-1
20110316,city.chennai,Rs 7;50;00;000... and counting,10,1,neu,-1,0,-1
20151116,city.kolkata,'It's almost like Mumbai',13,1,neu,-1,0,-1
20161216,city.rajkot,52-year-old man held for raping minor step-daughter,1,1,neu,-1,0,-1
